sample,dep_var,treat_var,coef,se,p,ci_low,ci_high,nobs,n_city,n_year,r2_within
baseline_level,lhp_deflate,lnrenewal_lag,0.003296050510368041,0.01561574040178027,0.8330501334500935,-0.027310800677121286,0.03390290169785737,403,203,4,0.002627813709217941
delta_dep,d_lhp_deflate,lnrenewal_lag,-0.014551983779197962,0.01585114924207447,0.35973219328654205,-0.04562023629366392,0.016516268735268,396,197,4,-0.002573064841491446
winsor_1_99,lhp_deflate,lnrenewal_lag,0.005176061850952219,0.014961480768470398,0.7297444452904962,-0.02414844045524976,0.0345005641571542,403,203,4,0.004102537835360298
city_obs>=3,lhp_deflate,lnrenewal_lag,0.003296050510368041,0.01561574040178027,0.8330501334500935,-0.027310800677121286,0.03390290169785737,403,203,4,0.002627813709217941
hetero_renewal_high,lhp_deflate,lnrenewal_lag,0.005743313129442065,0.0221503274448585,0.7961330276350993,-0.0376713286624806,0.049157954921364724,147,69,4,0.017575693491039823
hetero_renewal_low,lhp_deflate,lnrenewal_lag,-0.02160241522929327,0.039185545076386004,0.5838934281331503,-0.09840608357900985,0.055201253120423295,120,66,4,0.01748572299715634
hetero_renewal_middle,lhp_deflate,lnrenewal_lag,0.03103959234913902,0.017656859464081767,0.08354015777216017,-0.003567852200461241,0.06564703689873928,136,68,4,-0.0010072387745332367
